Anchorage,America/Anchorage,61.2180556,-149.9002778
Annette,America/Anchorage,55.12092939999999,-131.4855123
Barrow,America/Anchorage,71.29055559999999,-156.7886111
Bethel,America/Anchorage,60.7922222,-161.7558333
Bettles,America/Anchorage,66.9188889,-151.5161111
Big Delta,America/Anchorage,64.1525,-145.8422222
Cold Bay,America/Anchorage,55.204498,-162.7183867
Fairbanks,America/Anchorage,64.8377778,-147.7163889
Gulkana,America/Anchorage,62.20863379999999,-145.4514817
King Salmon,America/Anchorage,58.68832510000001,-156.661351
Kodiak,America/Anchorage,57.79000000000001,-152.4072222
Kotzebue,America/Anchorage,66.89833329999999,-162.5966666
Mcgrath,America/Anchorage,62.9532043,-155.5959922
Nome,America/Anchorage,64.5011111,-165.4063889
St Paul Island,America/Anchorage,57.1866718,-170.2574745
Talkeetna,America/Anchorage,62.32090460000001,-150.1066221
Yakutat,America/Anchorage,59.5469878,-139.7272809
Birmingham,America/Chicago,33.5206608,-86.80248999999999
Huntsville,America/Chicago,34.7303688,-86.5861037
Mobile,America/Chicago,30.6953657,-88.0398912
Montgomery,America/Chicago,32.3668052,-86.2999689
Fort Smith,America/Chicago,35.3859242,-94.39854749999999
Little Rock,America/Chicago,34.7464809,-92.28959479999999
Flagstaff,America/Phoenix,35.1982836,-111.651302
Phoenix,America/Phoenix,33.4483771,-112.0740373
Prescott,America/Phoenix,34.5400242,-112.4685025
Tucson,America/Phoenix,32.2217429,-110.926479
Arcata,America/Los_Angeles,40.8665166,-124.0828396
Bakersfield,America/Los_Angeles,35.3732921,-119.0187125
Barstow-Daggett,America/Los_Angeles,34.8562495,-116.7861698
Fresno,America/Los_Angeles,36.7468422,-119.7725868
Long Beach,America/Los_Angeles,33.7700504,-118.1937395
Los Angeles,America/Los_Angeles,34.0522342,-118.2436849
Sacramento,America/Los_Angeles,38.5815719,-121.4943996
San Diego,America/Los_Angeles,32.715738,-117.1610838
San Francisco,America/Los_Angeles,37.7749295,-122.4194155
Santa Maria,America/Los_Angeles,34.9530337,-120.4357191
Alamosa,America/Denver,37.4694491,-105.8700214
Boulder,America/Denver,40.0149856,-105.2705456
Colorado Springs,America/Denver,38.8338816,-104.8213634
Eagle,America/Denver,39.6552634,-106.8286507
Grand Junction,America/Denver,39.0638705,-108.5506486
Pueblo,America/Denver,38.2544472,-104.6091409
Bridgeport,America/New_York,41.1865478,-73.19517669999999
Hartford,America/New_York,41.76371109999999,-72.6850932
